numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
200918521X;INSTITUT DE RECHERCHE EN LANGUES ET LITTÉRATURES EUROPÉENNE (ILLE) - UR 4363;ILLE;1997;Unité propre;21;2;http://www.ille.uha.fr;Université de Mulhouse Faculté des Lettres et Sciences Humaines 10, rue des Frères Lumière;68093;MULHOUSE CEDEX;BATTISTON;Régine;DIR;UR 4363;Université Haute Alsace Mulhouse;MULHOUSE;UNIV;Université;0681166Y;19681166500013;TUTE;établissement tutelle;;;;;;;6;Sciences humaines et humanités;"SH4;SH5";The Human Mind and Its Complexity : Cognitive science, psychology, linguistics,Texts and Concepts : Literary studies, literature, philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200918521X&PUBLIC=OK
201622179T;Unité mixte de recherche en Oenologie;OENO;2016;Unité mixte;22;2;;ISVV - 210 Chemin de Leysotte;33882;VILLENAVE D'ORNON;LUCAS,MARCHAL,ALBERTIN;Patrick,Axel,Warren;DR,DR-Adj,DR-Adj;UMR 1366,UMR 1366;Ecole Nationale Supérieure des Sciences Agronomiques de Bordeaux Aquitaine,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Institut Polytechnique Bordeaux,Université de Bordeaux;BORDEAUX SCIENCES AGRO,INRAE,Bordeaux INP,BORDEAUX;AUT_ETAB,EPST,AUT_ETAB,UNIV;Autres établissements ESR,Organismes de type EPST,Autres établissements ESR,Université;0330203S,0333232J,0333298F;19330203100011,18007003901803,13000635600013,13001835100010;TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;;200314947N,201119464N;"fusion;fusion";"F;F";"2016;2016";10;Sciences agronomiques et écologiques;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622179T&PUBLIC=OK
199522194A;Groupe de Recherche en Agro-alimentaire sur les Produits et les Procédés;USC GRAPPE;1995;Unité propre;21;2;https://www.groupe-esa.com/recherche/la-recherche-a-lesa/nos-unites-de-recherche/unite-sous-contrat-agroalimentaire-sur-les-produits-et-les-procedes-grappe/;55, rue Rabelais - BP 30748;49007;ANGERS Cedex 01;PICOUET,MAURY;Pierre,Chantal;;UMR 1422;Ecole Supérieure d'Agricultures,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;ESA ANGERS,INRAE;AUT_ETAB,EPST;Autres établissements ESR,Organismes de type EPST;0490072M;34238263700011,18007003901803;TUTE,PART;établissement tutelle,établissement participant;;;;;;;8;Sciences pour l'ingénieur;PE8;Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199522194A&PUBLIC=OK
201522514L;Laboratoire d?Innovation Numérique pour les Entreprises et les Apprentissages au service de la Compétitivité des Territoires;LINEACT;2015;Unité propre;21;2;https://recherche.cesi.fr/;1 boulevard Général de Gaulle;92074;Puteaux;MAZARI;Belahcène;;;groupe CESI;CESI;AUT_ETAB;Autres établissements ESR;0755372G;77572257201109;TUTE;établissement tutelle;;;;;;;;;PE8;Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201522514L&PUBLIC=OK
201722530V;UTechS Single Cell Biomarkers;;2017;Unité propre;21;2;https://research.pasteur.fr/en/team/technical-core/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;HASAN;Milena;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;202124295W,202124294V,202124023A;201822815A,201422234L,200621930R;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722530V&PUBLIC=OK
201722535A;Optimisation de grande taille et calcul large échelle;BONUS;2017;Unité propre;21;2;;;;;DERBEL;Bilel;;;Institut national de la recherche en informatique et automatique,Université de Lille (EPE);INRIA,LILLE;EPST,UNIV;Organismes de type EPST,Université;0780491K,0597239Y;18008904700013,13002975400012;TUTE,TUTE;établissement tutelle,établissement tutelle;;201521249L,200818245B;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722535A&PUBLIC=OK
201722537C;Biodiversité et Épidémiologie des Bactéries Pathogènes;;2017;Unité propre;21;2;https://research.pasteur.fr/team/biodiversity-and-epidemiology-of-bacterial-pathogens/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;BRISSE;Sylvain;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;201923234B;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722537C&PUBLIC=OK
201722539E;Imagerie moléculaire et stratégies theranostiques;IMOST;2017;Unité mixte;22;2;https://imost.uca.fr/;58 rue Montalembert  - BP 184;63005;Clermont-Ferrand Cedex;MIOT-NOIRAULT,PENAULT LLORCA;Elisabeth,Frédérique;Directrice,Directrice adjointe;U 1240,UMR 1240;Institut national de la sante et de la recherche medicale,Université Clermont Auvergne  (EPE);INSERM,U Clermont Auvergne;EPST,UNIV;Organismes de type EPST,Université;0755364Y,0632084Y;18003604800015,13002806100013;TUTE,TUTE;établissement tutelle,établissement tutelle;201723053N,201723052M;;200415106G,201220318M,201019273K;"fusion;fusion;fusion";"F;F;F";"2017;2017;2017";;;LS1;Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722539E&PUBLIC=OK
201221517R;Maison des Sciences sociales et des Humanités de Dijon;MSH Dijon;2002;Structures Fédératives de Recherche;3;3;http://msh-dijon.u-bourgogne.fr/;UNIV BOURGOGNE, MSH de Dijon, 6 Esplanade Erasme, BP 26611;21066;DIJON CEDEX;MARCHAL,GARRIC,GRAYOT-DIRX;Hervé,Henri,Stéphanie;DIR,DIR-ADJ,DIR-ADJ;UAR 3516,UAR 3516,USR 3516;Centre national de la recherche scientifique,Université Bourgogne Europe (EPE),Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement;CNRS,UBE,Institut Agro;EPST,UNIV,AUT_ETAB;Organismes de type EPST,Université,Autres établissements ESR;0753639Y,0212296G,0756246G;18008901303720,93823061200013,13002622200013;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;;;;;;3,6,7,9,10;Sciences de la terre et de l'univers, espace,Sciences humaines et humanités,Sciences de la société,Sciences et technologies de l'information et de la communication,Sciences agronomiques et écologiques;"SH1;SH4;SH3;SH6;SH2;SH5";Individuals, Markets and Organisations : Economics, finance, management,The Human Mind and Its Complexity : Cognitive science, psychology, linguistics,The Social World and Its Interactions : Sociology, social psychology, education sciences, communication studies,The Study of the Human Past : Archaeology and history,Institutions, Governance and Legal Systems : Political science, international relations, law,Texts and Concepts : Literary studies, literature, philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201221517R&PUBLIC=OK
201221519T;Ingenerie des biopolymères pour la structuration des matrices des matériaux;IBPMM;2012;Structures Fédératives de Recherche;3;3;;Faculté des Sciences et des Techniques, 2, rue de la Houssinière;44322;NANTES CEDEX 3;GUEGUEN;Jacques;;FED 4202,FED 4202;Ecole Nationale Vétérinaire, Agroalimentaire et de l'alimentation Nantes-Atlantique (ONIRIS),Nantes Université;ONIRIS NANTES ATLANTIQUE,Nantes Université;AUT_ETAB,UNIV;Autres établissements ESR,Université;0441916U,0442953W;13000853500010,13002974700016;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;8,10;Sciences pour l'ingénieur,Sciences agronomiques et écologiques;PE5;Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201221519T&PUBLIC=OK
000021543S;Plate-forme technologique Biomics;;2015;Unité propre;21;2;https://research.pasteur.fr/en/team/biomics/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;MONOT;Marc;;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;200021634V,200018093W;201822815A;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=000021543S&PUBLIC=OK
201421553W;Unité Biologie cellulaire de l'infection microbienne;;2014;Unité propre;21;2;https://research.pasteur.fr/en/team/cellular-biology-of-microbial-infection/;Institut Pasteur, 25-28 rue du Docteur Roux;75724;Paris Cedex 15;SUBTIL;Agathe;DIR;;Institut Pasteur;INSTITUT PASTEUR;FONDATION;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755366A;77568489700017;TUTE;établissement tutelle;;199818058S,200621925K;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201421553W&PUBLIC=OK
201220296N;MOBILITE, VIEILLISSEMENT, EXERCICE;MOVE;2012;Unité propre;21;2;http://move.labo.univ-poitiers.fr/;Laboratoire MOVE - Faculté de Sciences du Sport - Université de Poitiers - Bâtiment C6 - 8 Allée Jean Monnet - TSA 31113;86073;POITIERS CEDEX 9;DUPUY;Olivier;Directeur;UR 20296;Université de Poitiers;UP;UNIV;Université;0860856N;19860856400375;TUTE;établissement tutelle;;;;;;;5,6;Biologie, médecine et santé,Sciences humaines et humanités;"SH4;LS4";The Human Mind and Its Complexity : Cognitive science, psychology, linguistics,Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases);https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220296N&PUBLIC=OK
200711912X;Institut des Biomolécules Max Mousseron;IBMM;2006;Unité mixte;22;2;https://ibmm.umontpellier.fr/;CNRS UMR 5247 IBMM, 1919 route de Mende, 34293 Montpellier cedex 5;34293;MONTPELLIER CEDEX 5;AMBLARD,DUMY,SMIETANA;Muriel,Pascal,Michael;DIR-ADJ,DIR,Directeur adjoint;UMR 5247,UMR 5247,UMR 5247;Ecole Nationale Supérieure de Chimie de Montpellier,Centre national de la recherche scientifique,Université de Montpellier (EPE);ENS CHIM. MONTPELLIER,CNRS,MONTPELLIER;AUT_ETAB,EPST,UNIV;Autres établissements ESR,Organismes de type EPST,Université;0340112M,0753639Y,0342490X;19340112200026,18008901303720,13002979600013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;200919526P,201119518X;199711939V,199911763V,199511762L,199511725W,199914313S,199712088G,199512054D;"éclatement - fusion;éclatement - fusion;éclatement - fusion;éclatement - fusion;éclatement - fusion;éclatement - fusion;éclatement - fusion";"EF;EF;EF;EF;EF;EF;EF";"2007;2007;2007;2007;2007;2007;2007";4,5;Chimie,Biologie, médecine et santé;LS1;Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711912X&PUBLIC=OK
199220657T;AGENCE DE L'ENVIRONNEMENT ET DE LA MAITRISE DE L'ENERGIE;ADEME;1992;Structures Fédératives de Recherche;3;3;http://www.ademe.fr;20 avenue du Grésillé - BP 90406;49004;ANGERS CEDEX 01;LECHEVIN;Bruno;;;Agence de l'environnement et des énergies;ADEME;EPIC;Organismes de type EPIC;0755504A;38529030900454;TUTE;établissement tutelle;;;;;;;;;PE10;Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199220657T&PUBLIC=OK
201221715F;Toulouse White Biotechnology;TWB;2012;Unité mixte;22;2;http://www.toulouse-white-biotechnology.com/;3 avenue des Satellites;31400;TOULOUSE;BLANC;JEAN-LUC;DIR;UMS 3582,UAR 3582,UMS 1337;Institut National des Sciences Appliquées Toulouse,Centre national de la recherche scientifique,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;INSA TOULOUSE,CNRS,INRAE;AUT_ETAB,EPST,EPST;Autres établissements ESR,Organismes de type EPST,Organismes de type EPST;0310152X,0753639Y;19310152400018,18008901303720,18007003901803;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;;;LS9;Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201221715F&PUBLIC=OK
200311847U;Centre d'Ecologie Fonctionnelle et Evolutive;CEFE;2003;Unité mixte;22;2;http://www.cefe.cnrs.fr/;CNRS 1919 Route de Mende;34293;MONTPELLIER CEDEX 5;LENORMAND,NAVAS,DECAENS,BESNARD;Thomas,Marie-Laure,Thibaud,Aurélien;Directeur adjoint,Directrice,Directeur adjoint,Directeur adjoint;UMR 5175,UMR 5175,UMR 251,UMR 5175,UMR 5175,UMR 1338;Ecole Pratique des Hautes Etudes Paris,Centre national de la recherche scientifique,Institut de recherche pour le developpement,Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement,Université de Montpellier (EPE),Université de Montpellier Paul Valery (EPE),Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;EPHE PARIS,CNRS,IRD,Institut Agro,MONTPELLIER,UMPV,INRAE;AUT_ETAB,EPST,EPST,AUT_ETAB,UNIV,UNIV,EPST;Autres établissements ESR,Organismes de type EPST,Organismes de type EPST,Autres établissements ESR,Université,Université,Organismes de type EPST;0753486G,0753639Y,0133973Y,0756246G,0342490X,0342569H;19753486000105,18008901303720,18000602500159,13002622200013,13002979600013,93249089900014,18007003901803;TUTE,TUTE,TUTE,TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;;200919527R;199716721T;renouvellement;R;2003;3,6,10;Sciences de la terre et de l'univers, espace,Sciences humaines et humanités,Sciences agronomiques et écologiques;"LS8;LS9";Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311847U&PUBLIC=OK
201421205T;Computational systems biology and optimization;LIFEWARE;2014;Unité propre;21;2;http://www.inria.fr/equipes/lifeware;;91120;Palaiseau;FAGES;Francois;;;Institut national de la recherche en informatique et automatique;INRIA;EPST;Organismes de type EPST;0780491K;18008904700013;TUTE;établissement tutelle;;200818248E;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201421205T&PUBLIC=OK
201221273A;French Clinical Research Infrastructure Network;F-CRIN;2012;Unité mixte;22;2;http://www.fcrin.org/;CHU DE TOULOUSE, PLACE DU DR BAYLAC, TSA 40031;31059;TOULOUSE CEDEX 9;DIEBOLT,TRILLOU (DIRECTRICE ADJOINTE);Vincent,Christine;;US 15,US 15;Institut national de la sante et de la recherche medicale,Université de Toulouse EPE;INSERM,UT;EPST,UNIV;Organismes de type EPST,Université;0755364Y,0313218E;18003604800015,93827139200012;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;;;LS7;Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201221273A&PUBLIC=OK
201019672U;UAR 3290 - MSAP - Miniaturisation pour la Synthèse, l'Analyse et la Protéomique;;2010;Unité mixte;22;2;https://msap-lab.fr/;Laboratoire MSAP UAR 3290 - Bât C4 - Avenue Paul Langevin;59655;VILLENEUVE D ASCQ CEDEX;MAZZAH;Ahmed;directeur;UAR 3290,USR 3290;Centre national de la recherche scientifique,Université de Lille (EPE);CNRS,LILLE;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0597239Y;18008901303720,13002975400012;TUTE,TUTE;établissement tutelle,établissement tutelle;201023898M,201023897L,201023896K,201023894H,201023893G;200610674F;;;;;4,5;Chimie,Biologie, médecine et santé;"LS2;PE4;PE5";Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics,Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201019672U&PUBLIC=OK
201019676Y;PHysiopathologie, ENvironnement & eXposome;PHEN-X;2010;Unité mixte;22;2;https://phen-x.univ-cotedazur.fr/tiro-matos/presentation;Faculté de Médecine - 1er étage - 28 avenue de Valombrose;06107;NICE CEDEX;BREUIL,DAGNINO,SANTUCCI;Véronique,Sonia,Sabine;Directrice,DU adjointe,DU adjointe;UMR_E 4320;Commissariat à l'énergie atomique et aux énergies alternatives,Université Côte d'Azur;CEA,UniCA;EPIC,UNIV;Organismes de type EPIC,Université;0912281K,0062205P;77568501900587,13002566100013;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;5;Biologie, médecine et santé;LS7;Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201019676Y&PUBLIC=OK
200820138J;CIC-IT BORDEAUX;CIC-IT;2008;Unité propre;21;2;;Hôpital Xavier Arnozan Avenue du Haut Lévêque PTIB;33604;PESSAC CEDEX;BORDENAVE;Laurence;;CIT 802;Institut national de la sante et de la recherche medicale;INSERM;EPST;Organismes de type EPST;0755364Y;18003604800015;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200820138J&PUBLIC=OK
